INFO:root:round 0	 loss: 25.527	 reward1: 0.00	 reward2: 3.00	 value: 6.917	 pos_reward_ct: 0
INFO:root:round 1	 loss: 20.942	 reward1: 1.00	 reward2: 2.00	 value: 8.073	 pos_reward_ct: 0
INFO:root:round 2	 loss: 21.096	 reward1: 0.75	 reward2: 3.00	 value: 9.334	 pos_reward_ct: 0
INFO:root:round 3	 loss: 19.013	 reward1: 0.75	 reward2: 2.00	 value: 10.366	 pos_reward_ct: 0
INFO:root:round 4	 loss: 16.013	 reward1: 0.50	 reward2: 1.00	 value: 11.030	 pos_reward_ct: 0
INFO:root:round 5	 loss: 13.544	 reward1: 0.25	 reward2: 1.00	 value: 11.701	 pos_reward_ct: 0
INFO:root:round 6	 loss: 12.623	 reward1: 1.00	 reward2: 5.00	 value: 12.724	 pos_reward_ct: 0
INFO:root:round 7	 loss: 11.781	 reward1: 1.00	 reward2: 4.00	 value: 13.995	 pos_reward_ct: 0
INFO:root:round 8	 loss: 10.009	 reward1: 0.00	 reward2: 1.00	 value: 14.803	 pos_reward_ct: 0
INFO:root:round 9	 loss: 9.702	 reward1: 0.75	 reward2: 1.00	 value: 16.042	 pos_reward_ct: 0
INFO:root:round 10	 loss: 8.513	 reward1: 0.00	 reward2: 2.00	 value: 17.107	 pos_reward_ct: 0
INFO:root:round 11	 loss: 7.756	 reward1: 0.25	 reward2: 2.00	 value: 18.178	 pos_reward_ct: 0
INFO:root:round 12	 loss: 7.401	 reward1: 0.00	 reward2: 1.00	 value: 19.569	 pos_reward_ct: 0
INFO:root:round 13	 loss: 6.494	 reward1: 0.75	 reward2: 0.00	 value: 20.865	 pos_reward_ct: 0
INFO:root:round 14	 loss: 5.953	 reward1: 0.25	 reward2: 1.00	 value: 22.062	 pos_reward_ct: 0
INFO:root:round 15	 loss: 5.725	 reward1: 0.75	 reward2: 2.00	 value: 23.431	 pos_reward_ct: 0
INFO:root:round 16	 loss: 5.311	 reward1: 0.50	 reward2: 2.00	 value: 24.500	 pos_reward_ct: 0
INFO:root:round 17	 loss: 5.213	 reward1: 0.75	 reward2: 1.00	 value: 26.287	 pos_reward_ct: 0
INFO:root:round 18	 loss: 4.791	 reward1: 0.25	 reward2: 1.00	 value: 27.907	 pos_reward_ct: 0
INFO:root:round 19	 loss: 4.554	 reward1: 0.50	 reward2: 0.00	 value: 29.480	 pos_reward_ct: 0
INFO:root:round 20	 loss: 4.542	 reward1: 0.25	 reward2: 2.00	 value: 31.288	 pos_reward_ct: 0
INFO:root:round 21	 loss: 4.611	 reward1: 0.50	 reward2: 1.00	 value: 33.011	 pos_reward_ct: 0
INFO:root:round 22	 loss: 4.453	 reward1: 0.00	 reward2: 1.00	 value: 34.974	 pos_reward_ct: 0
INFO:root:round 23	 loss: 4.515	 reward1: 0.50	 reward2: 2.00	 value: 36.733	 pos_reward_ct: 0
